#slot cellType shared channel neighbor
14 2 12 13
0 1 0 0 12
1 1 0 0 13
15 2 13 12
4 1 0 1 13
5 1 0 1 12
12 8 10 11
0 2 0 0 14
2 1 0 0 10
3 1 0 0 11
5 2 0 1 15
6 1 0 1 11
7 1 0 1 10
10 1 0 2 10
11 1 0 2 11
13 8 11 10
1 2 0 0 14
2 1 0 0 10
3 1 0 0 11
4 2 0 1 15
6 1 0 1 11
7 1 0 1 10
14 1 0 2 11
15 1 0 2 10
10 14 8 9
2 2 1 0 0
4 1 0 0 8
5 1 0 0 9
7 2 1 1 0
8 1 0 1 9
9 1 0 1 8
10 2 0 2 12
12 1 0 2 8
13 1 0 2 9
15 2 0 2 13
16 1 0 2 9
17 1 0 2 8
20 1 0 2 8
21 1 0 2 9
11 14 9 8
3 2 1 0 0
4 1 0 0 8
5 1 0 0 9
6 2 1 1 0
8 1 0 1 9
9 1 0 1 8
11 2 0 2 12
12 1 0 2 8
13 1 0 2 9
14 2 0 2 13
16 1 0 2 9
17 1 0 2 8
24 1 0 2 9
25 1 0 2 8
8 20 6 7
4 2 1 0 0
6 1 0 0 6
7 1 0 0 7
9 2 1 1 0
10 1 0 1 7
11 1 0 1 6
14 1 0 1 6
15 1 0 1 7
18 1 0 1 7
19 1 0 1 6
22 1 0 1 6
23 1 0 1 7
26 1 0 1 7
27 1 0 1 6
30 1 0 1 6
31 1 0 1 7
12 2 1 2 0
17 2 1 2 0
20 2 0 2 10
25 2 0 2 11
9 20 7 6
5 2 1 0 0
6 1 0 0 6
7 1 0 0 7
8 2 1 1 0
10 1 0 1 7
11 1 0 1 6
14 1 0 1 6
15 1 0 1 7
18 1 0 1 7
19 1 0 1 6
22 1 0 1 6
23 1 0 1 7
26 1 0 1 7
27 1 0 1 6
34 1 0 1 7
35 1 0 1 6
13 2 1 2 0
16 2 1 2 0
21 2 0 2 10
24 2 0 2 11
6 26 4 5
6 2 1 0 0
8 1 0 0 4
9 1 0 0 5
0 1 0 1 4
1 1 0 1 5
11 2 1 1 0
12 1 0 1 5
13 1 0 1 4
14 2 1 1 0
16 1 0 1 4
17 1 0 1 5
19 2 1 1 0
20 1 0 1 5
21 1 0 1 4
22 2 1 1 0
24 1 0 1 4
25 1 0 1 5
27 2 1 1 0
28 1 0 1 5
29 1 0 1 4
30 2 0 1 8
32 1 0 1 4
33 1 0 1 5
35 2 0 1 9
36 1 0 1 5
37 1 0 1 4
7 26 5 4
7 2 1 0 0
8 1 0 0 4
9 1 0 0 5
10 2 1 1 0
12 1 0 1 5
13 1 0 1 4
15 2 1 1 0
16 1 0 1 4
17 1 0 1 5
18 2 1 1 0
20 1 0 1 5
21 1 0 1 4
23 2 1 1 0
24 1 0 1 4
25 1 0 1 5
26 2 1 1 0
28 1 0 1 5
29 1 0 1 4
31 2 0 1 8
32 1 0 1 4
33 1 0 1 5
34 2 0 1 9
36 1 0 1 5
37 1 0 1 4
40 1 0 1 5
41 1 0 1 4
4 32 2 3
8 2 1 0 0
10 1 0 0 2
11 1 0 0 3
14 1 0 0 3
15 1 0 0 2
18 1 0 0 2
19 1 0 0 3
22 1 0 0 3
23 1 0 0 2
26 1 0 0 2
27 1 0 0 3
30 1 0 0 3
31 1 0 0 2
34 1 0 0 2
35 1 0 0 3
38 1 0 0 3
39 1 0 0 2
42 1 0 0 3
43 1 0 0 2
46 1 0 0 2
47 1 0 0 3
0 2 0 1 6
2 1 0 1 2
3 1 0 1 3
13 2 1 1 0
16 2 1 1 0
21 2 1 1 0
24 2 1 1 0
29 2 1 1 0
32 2 1 1 0
37 2 1 1 0
41 2 0 1 7
5 32 3 2
9 2 1 0 0
10 1 0 0 2
11 1 0 0 3
14 1 0 0 3
15 1 0 0 2
18 1 0 0 2
19 1 0 0 3
22 1 0 0 3
23 1 0 0 2
26 1 0 0 2
27 1 0 0 3
30 1 0 0 3
31 1 0 0 2
34 1 0 0 2
35 1 0 0 3
38 1 0 0 3
39 1 0 0 2
42 1 0 0 3
43 1 0 0 2
50 1 0 0 3
51 1 0 0 2
1 2 0 1 6
2 1 0 1 2
3 1 0 1 3
12 2 1 1 0
17 2 1 1 0
20 2 1 1 0
25 2 1 1 0
28 2 1 1 0
33 2 1 1 0
36 2 1 1 0
40 2 0 1 7
2 38 1
10 2 1 0 0
12 1 0 0 1
13 1 0 0 1
15 2 1 0 0
16 1 0 0 1
17 1 0 0 1
18 2 1 0 0
20 1 0 0 1
21 1 0 0 1
23 2 1 0 0
24 1 0 0 1
25 1 0 0 1
26 2 1 0 0
28 1 0 0 1
29 1 0 0 1
31 2 1 0 0
32 1 0 0 1
33 1 0 0 1
34 2 1 0 0
36 1 0 0 1
37 1 0 0 1
39 2 1 0 0
40 1 0 0 1
41 1 0 0 1
43 2 1 0 0
44 1 0 0 1
45 1 0 0 1
46 2 0 0 4
48 1 0 0 1
49 1 0 0 1
51 2 0 0 5
52 1 0 0 1
53 1 0 0 1
2 2 1 1 0
0 1 0 2 1
1 1 0 2 1
4 1 0 2 1
5 1 0 2 1
3 38 1
11 2 1 0 0
12 1 0 0 1
13 1 0 0 1
14 2 1 0 0
16 1 0 0 1
17 1 0 0 1
19 2 1 0 0
20 1 0 0 1
21 1 0 0 1
22 2 1 0 0
24 1 0 0 1
25 1 0 0 1
27 2 1 0 0
28 1 0 0 1
29 1 0 0 1
30 2 1 0 0
32 1 0 0 1
33 1 0 0 1
35 2 1 0 0
36 1 0 0 1
37 1 0 0 1
38 2 1 0 0
40 1 0 0 1
41 1 0 0 1
42 2 1 0 0
44 1 0 0 1
45 1 0 0 1
47 2 0 0 4
48 1 0 0 1
49 1 0 0 1
50 2 0 0 5
52 1 0 0 1
53 1 0 0 1
3 2 1 1 0
4 1 0 2 1
5 1 0 2 1
6 1 0 2 1
7 1 0 2 1
1 28
12 2 1 0 0
13 2 1 0 0
16 2 1 0 0
17 2 1 0 0
20 2 1 0 0
21 2 1 0 0
24 2 1 0 0
25 2 1 0 0
28 2 1 0 0
29 2 1 0 0
32 2 1 0 0
33 2 1 0 0
36 2 1 0 0
37 2 1 0 0
40 2 1 0 0
41 2 1 0 0
44 2 1 0 0
45 2 1 0 0
48 2 1 0 0
49 2 1 0 0
52 2 1 0 0
53 2 1 0 0
0 2 0 2 2
1 2 0 2 2
4 2 1 2 0
5 2 1 2 0
6 2 0 2 3
7 2 0 2 3
