#slot cellType shared channel neighbor
14 2 12 13
0 1 0 0 12
1 1 0 0 13
15 2 13 12
3 1 0 2 13
4 1 0 2 12
12 6 10 11
0 2 0 0 14
1 1 0 1 10
4 2 0 2 15
5 1 0 2 10
8 1 0 2 11
7 1 0 3 10
13 6 11 10
1 2 0 0 14
2 1 0 0 11
3 2 0 2 15
11 1 0 2 10
4 1 0 3 11
10 1 0 3 11
10 10 8 9
1 2 0 1 12
2 1 0 1 8
5 2 0 2 12
6 1 0 2 8
11 2 0 2 13
12 1 0 2 8
14 1 0 2 8
15 1 0 2 9
7 2 0 3 12
8 1 0 3 8
11 10 9 8
2 2 0 0 13
3 1 0 0 9
8 2 0 2 12
9 1 0 2 9
17 1 0 2 9
18 1 0 2 8
4 2 0 3 13
5 1 0 3 9
10 2 0 3 13
11 1 0 3 9
8 14 6 7
2 2 0 1 10
3 1 0 1 6
7 1 0 1 6
13 1 0 1 6
19 1 0 1 6
22 1 0 1 7
6 2 0 2 10
12 2 0 2 10
14 2 0 2 10
18 2 0 2 11
21 1 0 2 6
8 2 0 3 10
9 1 0 3 6
15 1 0 3 6
9 14 7 6
3 2 0 0 11
4 1 0 0 7
10 1 0 1 7
16 1 0 1 7
25 1 0 1 6
9 2 0 2 11
15 2 0 2 10
17 2 0 2 11
24 1 0 2 7
5 2 0 3 11
6 1 0 3 7
11 2 0 3 11
12 1 0 3 7
18 1 0 3 7
6 18 4 5
8 1 0 0 4
14 1 0 0 4
20 1 0 0 4
26 1 0 0 4
29 1 0 0 5
3 2 0 1 8
4 1 0 1 4
7 2 0 1 8
13 2 0 1 8
19 2 0 1 8
25 2 0 1 9
28 1 0 1 4
10 1 0 2 4
16 1 0 2 4
21 2 0 2 8
22 1 0 2 4
9 2 0 3 8
15 2 0 3 8
7 18 5 4
4 2 0 0 9
5 1 0 0 5
11 1 0 0 5
17 1 0 0 5
23 1 0 0 5
0 1 0 1 5
10 2 0 1 9
16 2 0 1 9
22 2 0 1 8
1 1 0 2 4
7 1 0 2 5
13 1 0 2 5
19 1 0 2 5
24 2 0 2 9
25 1 0 2 5
6 2 0 3 9
12 2 0 3 9
18 2 0 3 9
4 22 2 3
8 2 0 0 6
9 1 0 0 2
14 2 0 0 6
15 1 0 0 2
20 2 0 0 6
21 1 0 0 2
26 2 0 0 6
27 1 0 0 2
32 1 0 0 3
4 2 0 1 6
5 1 0 1 2
11 1 0 1 2
17 1 0 1 2
23 1 0 1 2
28 2 0 1 6
29 1 0 1 2
31 1 0 1 2
1 2 0 2 7
2 1 0 2 2
10 2 0 2 6
16 2 0 2 6
22 2 0 2 6
5 22 3 2
5 2 0 0 7
6 1 0 0 3
11 2 0 0 7
12 1 0 0 3
17 2 0 0 7
18 1 0 0 3
23 2 0 0 7
24 1 0 0 3
29 2 0 0 6
30 1 0 0 3
34 1 0 0 3
35 1 0 0 2
0 2 0 1 7
8 1 0 1 3
14 1 0 1 3
20 1 0 1 3
26 1 0 1 3
7 2 0 2 7
13 2 0 2 7
19 2 0 2 7
25 2 0 2 7
1 1 0 3 3
2 26 1
9 2 0 0 4
10 1 0 0 1
15 2 0 0 4
16 1 0 0 1
21 2 0 0 4
22 1 0 0 1
27 2 0 0 4
28 1 0 0 1
35 2 0 0 5
36 1 0 0 1
5 2 0 1 4
6 1 0 1 1
11 2 0 1 4
12 1 0 1 1
17 2 0 1 4
18 1 0 1 1
23 2 0 1 4
24 1 0 1 1
29 2 0 1 4
30 1 0 1 1
31 2 0 1 4
32 1 0 1 1
0 1 0 2 1
2 2 0 2 4
3 1 0 3 1
1 1 0 4 1
3 26 1
6 2 0 0 5
7 1 0 0 1
12 2 0 0 5
13 1 0 0 1
18 2 0 0 5
19 1 0 0 1
24 2 0 0 5
25 1 0 0 1
30 2 0 0 5
31 1 0 0 1
32 2 0 0 4
33 1 0 0 1
34 2 0 0 5
8 2 0 1 5
9 1 0 1 1
14 2 0 1 5
15 1 0 1 1
20 2 0 1 5
21 1 0 1 1
26 2 0 1 5
27 1 0 1 1
35 1 0 1 1
1 2 0 3 5
2 1 0 3 1
4 1 0 4 1
5 1 0 4 1
1 28
7 2 0 0 3
10 2 0 0 2
13 2 0 0 3
16 2 0 0 2
19 2 0 0 3
22 2 0 0 2
25 2 0 0 3
28 2 0 0 2
31 2 0 0 3
33 2 0 0 3
36 2 0 0 2
6 2 0 1 2
9 2 0 1 3
12 2 0 1 2
15 2 0 1 3
18 2 0 1 2
21 2 0 1 3
24 2 0 1 2
27 2 0 1 3
30 2 0 1 2
32 2 0 1 2
35 2 0 1 3
0 2 0 2 2
2 2 0 3 3
3 2 0 3 2
1 2 0 4 2
4 2 0 4 3
5 2 0 4 3
