#slot cellType shared channel neighbor
14 2 12
0 1 0 0 12
1 1 0 0 12
15 2 13
2 1 0 1 13
3 1 0 1 13
12 6 10
0 2 0 0 14
1 2 0 0 14
2 1 0 0 10
3 1 0 0 10
6 1 0 2 10
7 1 0 2 10
13 6 11
2 2 0 1 15
3 2 0 1 15
4 1 0 1 11
5 1 0 1 11
8 1 0 3 11
9 1 0 3 11
10 10 8
2 2 0 0 12
3 2 0 0 12
4 1 0 0 8
5 1 0 0 8
6 2 0 2 12
7 2 0 2 12
8 1 0 2 8
9 1 0 2 8
12 1 0 4 8
13 1 0 4 8
11 10 9
4 2 0 1 13
5 2 0 1 13
6 1 0 1 9
7 1 0 1 9
8 2 0 3 13
9 2 0 3 13
10 1 0 3 9
11 1 0 3 9
14 1 0 4 9
15 1 0 4 9
8 14 6
4 2 0 0 10
5 2 0 0 10
6 1 0 0 6
7 1 0 0 6
8 2 0 2 10
9 2 0 2 10
10 1 0 2 6
11 1 0 2 6
14 1 0 3 6
15 1 0 3 6
18 1 0 3 6
19 1 0 3 6
12 2 0 4 10
13 2 0 4 10
9 14 7
6 2 0 1 11
7 2 0 1 11
8 1 0 1 7
9 1 0 1 7
10 2 0 3 11
11 2 0 3 11
12 1 0 3 7
13 1 0 3 7
16 1 0 3 7
17 1 0 3 7
20 1 0 3 7
21 1 0 3 7
14 2 0 4 11
15 2 0 4 11
6 18 4
6 2 0 0 8
7 2 0 0 8
8 1 0 0 4
9 1 0 0 4
0 1 0 1 4
1 1 0 1 4
10 2 0 2 8
11 2 0 2 8
12 1 0 2 4
13 1 0 2 4
16 1 0 2 4
17 1 0 2 4
20 1 0 2 4
21 1 0 2 4
14 2 0 3 8
15 2 0 3 8
18 2 0 3 8
19 2 0 3 8
7 18 5
8 2 0 1 9
9 2 0 1 9
10 1 0 1 5
11 1 0 1 5
14 1 0 2 5
15 1 0 2 5
18 1 0 2 5
19 1 0 2 5
22 1 0 2 5
23 1 0 2 5
2 1 0 3 5
3 1 0 3 5
12 2 0 3 9
13 2 0 3 9
16 2 0 3 9
17 2 0 3 9
20 2 0 3 9
21 2 0 3 9
4 22 2
8 2 0 0 6
9 2 0 0 6
10 1 0 0 2
11 1 0 0 2
0 2 0 1 6
1 2 0 1 6
14 1 0 1 2
15 1 0 1 2
18 1 0 1 2
19 1 0 1 2
22 1 0 1 2
23 1 0 1 2
26 1 0 1 2
27 1 0 1 2
2 1 0 2 2
3 1 0 2 2
12 2 0 2 6
13 2 0 2 6
16 2 0 2 6
17 2 0 2 6
20 2 0 2 6
21 2 0 2 6
5 22 3
10 2 0 1 7
11 2 0 1 7
12 1 0 1 3
13 1 0 1 3
16 1 0 1 3
17 1 0 1 3
20 1 0 1 3
21 1 0 1 3
24 1 0 1 3
25 1 0 1 3
28 1 0 1 3
29 1 0 1 3
14 2 0 2 7
15 2 0 2 7
18 2 0 2 7
19 2 0 2 7
22 2 0 2 7
23 2 0 2 7
2 2 0 3 7
3 2 0 3 7
4 1 0 3 3
5 1 0 3 3
2 26 1
10 2 0 0 4
11 2 0 0 4
12 1 0 0 1
13 1 0 0 1
16 1 0 0 1
17 1 0 0 1
20 1 0 0 1
21 1 0 0 1
24 1 0 0 1
25 1 0 0 1
28 1 0 0 1
29 1 0 0 1
14 2 0 1 4
15 2 0 1 4
18 2 0 1 4
19 2 0 1 4
22 2 0 1 4
23 2 0 1 4
26 2 0 1 4
27 2 0 1 4
0 1 0 2 1
1 1 0 2 1
2 2 0 2 4
3 2 0 2 4
4 1 0 2 1
5 1 0 2 1
3 26 1
14 1 0 0 1
15 1 0 0 1
18 1 0 0 1
19 1 0 0 1
22 1 0 0 1
23 1 0 0 1
26 1 0 0 1
27 1 0 0 1
30 1 0 0 1
31 1 0 0 1
12 2 0 1 5
13 2 0 1 5
16 2 0 1 5
17 2 0 1 5
20 2 0 1 5
21 2 0 1 5
24 2 0 1 5
25 2 0 1 5
28 2 0 1 5
29 2 0 1 5
4 2 0 3 5
5 2 0 3 5
6 1 0 3 1
7 1 0 3 1
2 1 0 4 1
3 1 0 4 1
1 28
12 2 0 0 2
13 2 0 0 2
14 2 0 0 3
15 2 0 0 3
16 2 0 0 2
17 2 0 0 2
18 2 0 0 3
19 2 0 0 3
20 2 0 0 2
21 2 0 0 2
22 2 0 0 3
23 2 0 0 3
24 2 0 0 2
25 2 0 0 2
26 2 0 0 3
27 2 0 0 3
28 2 0 0 2
29 2 0 0 2
30 2 0 0 3
31 2 0 0 3
0 2 0 2 2
1 2 0 2 2
4 2 0 2 2
5 2 0 2 2
6 2 0 3 3
7 2 0 3 3
2 2 0 4 3
3 2 0 4 3
